candidato,intencao_voto_pct,rejeicao_pct,desvio_padrao_pct,indecisos_pct,instituto,data,snapshot
Lula,41.1,0.0,2.2,3.7,Paraná Pesquisas,2022-07-05,T-90
Jair Bolsonaro,35.1,0.0,2.2,3.7,Paraná Pesquisas,2022-07-05,T-90
Simone Tebet,2.2,0.0,2.2,3.7,Paraná Pesquisas,2022-07-05,T-90
Ciro Gomes,7.4,0.0,2.2,3.7,Paraná Pesquisas,2022-07-05,T-90
Lula,44.0,0.0,2.0,4.0,PoderData,2022-07-06,T-90
Jair Bolsonaro,36.0,0.0,2.0,4.0,PoderData,2022-07-06,T-90
Simone Tebet,3.0,0.0,2.0,4.0,PoderData,2022-07-06,T-90
Ciro Gomes,5.0,0.0,2.0,4.0,PoderData,2022-07-06,T-90
Lula,41.0,0.0,2.0,2.0,FSB,2022-07-11,T-90
Jair Bolsonaro,32.0,0.0,2.0,2.0,FSB,2022-07-11,T-90
Simone Tebet,4.0,0.0,2.0,2.0,FSB,2022-07-11,T-90
Ciro Gomes,9.0,0.0,2.0,2.0,FSB,2022-07-11,T-90
