candidato,intencao_voto_pct,desvio_padrao_pct,instituto,data,amostra
Lula,38.0,2.0,Datafolha,2026-02-18,2000
Flávio Bolsonaro,27.0,2.0,Datafolha,2026-02-18,2000
Outros,20.0,2.0,Datafolha,2026-02-18,2000
Brancos/Nulos,15.0,2.0,Datafolha,2026-02-18,2000
Lula,36.0,2.0,Quaest,2026-02-19,2500
Flávio Bolsonaro,28.0,2.0,Quaest,2026-02-19,2500
Outros,21.0,2.0,Quaest,2026-02-19,2500
Brancos/Nulos,15.0,2.0,Quaest,2026-02-19,2500
Lula,37.0,2.0,PoderData,2026-02-20,2200
Flávio Bolsonaro,26.0,2.0,PoderData,2026-02-20,2200
Outros,22.0,2.0,PoderData,2026-02-20,2200
Brancos/Nulos,15.0,2.0,PoderData,2026-02-20,2200
